id,0me,host_id,host_0me,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month,calculated_host_listings_count,,last_review
12605,"Private room for 4 JFK, LGA, Subway to Manhattan",162142087,Christian,Queens,Jamaica,40.68695,-73.8045,Private room,79,1,61,151,3.3,3,,6/18/2019
12606,"Sunny Basement Studio Apartment, 1 block to Park",13741210,Deborah,Brooklyn,Flatbush,40.64849,-73.96585,Entire home/apt,89,2,9,0,0.29,1,,10/1/2018
12607,furnished bedroom 1150$ a month,4599027,Amal,Manhattan,East Harlem,40.8032,-73.94004,Private room,100,30,0,365,0,2,,0
12608,"Authentic apartment in the heart of Williamsburg,",117476022,Valentine,Brooklyn,Williamsburg,40.71213,-73.951,Private room,84,5,0,60,0,1,,0
12609,Kozy Kingsbridge,139013186,Iris,Bronx,Kingsbridge,40.87896,-73.90674,Private room,75,2,40,246,1.74,1,,5/19/2019
12610,Comfy convenient apt. by the trains,32135311,Oliver,Manhattan,Inwood,40.85901,-73.92874,Entire home/apt,79,4,4,0,0.09,1,,1/20/2016
12611,Clean Cozy House less than 10 min from JFK :),7097558,Louise,Queens,South Ozone Park,40.67078,-73.79164,Entire home/apt,75,1,154,0,8.24,2,,6/22/2019
12612,Large sun drenched queen bedroom in Brooklyn Loft,3662122,Ti0,Brooklyn,Bushwick,40.70881,-73.92084,Private room,100,3,29,31,3.19,3,,6/18/2019
12613,"Large private room Williamsburg, Luxury Building",224340103,Vincent,Brooklyn,Williamsburg,40.70933,-73.94651,Private room,80,2,3,0,0.4,2,,2/17/2019
12614,1 bedroom Apt in Prospect Heights,32974295,Jacqueline,Brooklyn,Prospect Heights,40.67893,-73.97068,Entire home/apt,70,1,0,0,0,1,,0
12615,Welcoming Brooklyn Artist's Room in Williamsburg,16118005,Floria0,Brooklyn,Williamsburg,40.70831,-73.96192,Private room,70,1,11,0,0.89,1,,3/11/2019
12616,Cozy bedroom for 2 in Astoria,35417042,Maria,Queens,Astoria,40.76855,-73.92583,Private room,86,4,28,364,0.59,1,,4/23/2019
12617,Come and go as  you please in BKLN!,1631733,Jane,Brooklyn,Kensington,40.64354,-73.97777,Entire home/apt,89,3,62,189,0.71,1,,1/2/2019
12618,Amazing Penthouse Studio (Midtown East),13314076,Abraham,Manhattan,Midtown,40.75529,-73.96897,Entire home/apt,99,6,15,0,0.24,1,,8/26/2018
12619,"Private Room in Bklyn, 1 min to J, Free Breakfast",182260692,Leesha,Brooklyn,Cypress Hills,40.68168,-73.87882,Private room,99,2,67,295,4.59,2,,7/1/2019
12620,1 Bdrm Apt-Luxury Bldg-Upper West,4066797,Victoria,Manhattan,Upper West Side,40.77734,-73.9877,Entire home/apt,100,29,3,301,0.11,1,,2/11/2019
12621,"Brooklyn, Clinton Hill, Private rm",12303720,Cameron,Brooklyn,Clinton Hill,40.68405,-73.96681,Private room,75,3,2,0,0.04,1,,9/14/2015
12622,Hotel Gabrielle,26554386,Gabrielle,Brooklyn,Prospect-Lefferts Gardens,40.65516,-73.95882,Entire home/apt,105,14,43,319,0.83,1,,1/2/2019
12623,UWS STUDIO,26624082,Maurine,Manhattan,Upper West Side,40.78885,-73.98013,Entire home/apt,90,4,1,0,0.03,1,,3/26/2016
12624,A cozy place to set your mind free.,59473349,Judy,Brooklyn,East New York,40.67729,-73.87996,Entire home/apt,70,5,37,263,1.48,1,,6/28/2019
12625,Great Empty Apartment for you.,19893801,Jimmy,Brooklyn,Windsor Terrace,40.6526,-73.97366,Entire home/apt,77,1,5,0,0.2,1,,7/1/2017
12626,"Cozy studio/kitchen, bathroom",14214034,Desmar,Bronx,Mott Haven,40.81444,-73.92516,Entire home/apt,75,2,85,253,1.41,2,,6/9/2019
12627,AC room in a Huge Lux Greenpoint Loft,49742862,Angela,Brooklyn,Greenpoint,40.73052,-73.95876,Private room,80,2,2,0,0.05,2,,1/1/2019
12628,Williamsburg Loft Bedroom,302865,Gamze,Brooklyn,Williamsburg,40.71337,-73.9642,Private room,85,8,0,0,0,1,,0
12629,"ENTIRE home - Modern, huge, sunny 2BD",23974215,Alex,Manhattan,Harlem,40.80797,-73.95181,Entire home/apt,105,3,29,0,0.52,2,,3/20/2019
12630,SUNNY GUEST BDRM in Fort Greene!,3175065,Taya,Brooklyn,Fort Greene,40.69207,-73.97407,Private room,70,14,18,128,0.35,1,,6/30/2019
12631,Cozy Modern Townhouse Garden Apt,53621,Monica,Brooklyn,Bedford-Stuyvesant,40.69258,-73.93638,Entire home/apt,95,5,3,120,2.09,2,,7/2/2019
12632,Private bedroom in great LES spot,7137049,Susie,Manhattan,Lower East Side,40.71323,-73.9878,Private room,70,1,212,41,4.64,1,,6/21/2019
12633,Charming sunny Bushwick bedroom,3667601,Olivier,Brooklyn,Bushwick,40.68942,-73.90918,Private room,78,2,51,9,3.74,1,,6/29/2019
12634,"Gorgeous, charming Upper East private room",1497427,Andrea,Manhattan,Upper East Side,40.77108,-73.95967,Private room,82,3,10,251,0.13,2,,5/15/2019
12635,Bedroom in NYC - Minutes to Central Park!!,140830391,Jay,Manhattan,Inwood,40.86208,-73.9269,Private room,100,1,2,324,0.78,9,,6/19/2019
12636,STOP! Rooftop Terrace in the East Village!,73885,Jermaine,Manhattan,East Village,40.72328,-73.9843,Private room,80,3,2,0,0.14,1,,5/18/2018
12637,LARGE BEDROOM WITH ROOFTOP/WASHER/DRYER,140821239,Masaki,Manhattan,Upper East Side,40.7817,-73.94731,Private room,100,2,25,0,1.09,1,,5/2/2018
12638,"Extra Large Room in Huge, Serene Harlem Brownstone",27046912,Tara & Carl,Manhattan,Harlem,40.80669,-73.95655,Private room,89,4,56,15,1.07,2,,6/20/2019
12639,"Big 1 Bed, kitchen, living room, TV",50084137,Andrew,Queens,Jackson Heights,40.75251,-73.8898,Entire home/apt,105,7,2,0,0.05,1,,1/31/2016
12640,Whole Apt: Artsy home by BK Museum,5622682,Sabri0,Brooklyn,Crown Heights,40.66974,-73.958,Entire home/apt,85,3,10,149,0.85,1,,4/27/2019
12641,Nice Private Studio Apartment,107296819,Alexandra,Manhattan,East Harlem,40.79747,-73.93559,Entire home/apt,105,1,124,0,4.18,3,,6/24/2019
12642,Located in the heart of Soho!!,48161896,Kate,Manhattan,SoHo,40.72356,-74.00472,Entire home/apt,78,5,2,0,0.08,1,,5/22/2017
12643,Beautiful private 2 bedroom in prime Greenpoint,2308616,Rebecca,Brooklyn,Greenpoint,40.7245,-73.95022,Entire home/apt,100,14,1,0,0.04,1,,8/7/2017
12644,Sun drenched 1 bed - few mins walk from subway,643512,Kizzy,Brooklyn,Bedford-Stuyvesant,40.68373,-73.95016,Entire home/apt,101,7,4,365,0.11,1,,5/26/2019
12645,"Private, Clean, Spacious Room with Full Bathroom",28875304,Sebastian,Brooklyn,Bushwick,40.68856,-73.91503,Private room,85,4,4,8,0.13,2,,1/2/2019
12646,"Manhattan Lux King Sized Room, Lots of Light",3773866,Megumi & 0than,Manhattan,Harlem,40.81824,-73.93919,Private room,85,2,1,77,0.42,2,,4/28/2019
12647,Gorgeous & Spacious UES apartment,85218001,0tasha,Manhattan,Upper East Side,40.77666,-73.95618,Private room,105,2,8,0,0.3,1,,6/16/2018
12648,Upper West Side Town House Apartment,15547192,Bryan,Manhattan,Upper West Side,40.7886,-73.97088,Entire home/apt,82,7,0,0,0,1,,0
12649,Shared Living and Bathroom Brooklyn Rental,28891151,Kimesha,Brooklyn,East New York,40.66905,-73.88976,Private room,85,2,3,353,0.22,4,,6/9/2019
12650,Spacious 1 Bedroom Apartment,22616989,Don,Brooklyn,Bensonhurst,40.61957,-73.9936,Entire home/apt,93,3,52,325,0.99,1,,6/22/2019
12651,"Cozy and Spacious, 1 Bedroom, Astoria",36551297,Sebastian,Queens,Astoria,40.76194,-73.91881,Private room,70,2,8,0,0.16,1,,12/23/2016
12652,Suite Dante-15 min Central Park+free street park,116839989,Ez,Queens,Astoria,40.75941,-73.92498,Entire home/apt,105,30,25,235,2.54,5,,6/8/2019
12653,Le Chateau Vacation,22307859,Sharon,Brooklyn,Ca0rsie,40.63784,-73.89406,Private room,98,3,0,361,0,5,,0
12654,Amazing Artsy&Trendy Building w/Private Bathroom,2373120,Ele0,Brooklyn,Bushwick,40.69999,-73.92807,Private room,75,5,9,336,0.6,2,,6/15/2019
12655,Chic NYC apt - near train & 42st St,14952623,Ammy,Manhattan,Harlem,40.80985,-73.94348,Private room,90,2,82,0,1.53,1,,2/1/2018
12656,"Peaceful, cozy and safe condo/apt",62978797,Hasi,Queens,Woodside,40.75631,-73.90199,Private room,86,2,4,365,0.15,1,,1/1/2019
12657,Private room in a luxury building in DUMBO!,34161028,Agnese,Brooklyn,Downtown Brooklyn,40.69858,-73.98595,Private room,100,75,6,0,0.17,3,,6/3/2018
12658,COZY BROOKLYN BEDROOM,24079691,Mercedes,Brooklyn,Crown Heights,40.67863,-73.95859,Private room,70,1,2,0,0.17,1,,9/30/2018
12659,"Bay RIdge, Brooklyn NY",49413208,Sotira,Brooklyn,Fort Hamilton,40.61731,-74.0344,Entire home/apt,100,15,3,365,0.14,2,,8/27/2018
12660,Cozy Harlem Stay,22534207,Jemar,Manhattan,East Harlem,40.80906,-73.93686,Private room,75,2,45,123,0.94,1,,6/3/2019
12661,Brooklyn Heights contemporary studio apartment,8730700,Scott,Brooklyn,Brooklyn Heights,40.69863,-73.9937,Entire home/apt,88,20,3,23,1.14,1,,7/8/2019
12662,Private BR in 3 BR Apt,10134825,Kara,Manhattan,Lower East Side,40.7146,-73.98423,Private room,89,3,5,0,0.11,4,,1/2/2016
12663,Nice room in renovated apartment in Brooklyn,1478269,Ben,Brooklyn,Bedford-Stuyvesant,40.6891,-73.95452,Private room,70,2,7,49,0.36,2,,6/6/2019
12664,Sunlit Brooklyn Bedroom w/ Private Entrance,1886695,Ro0ld,Brooklyn,Bushwick,40.68338,-73.9078,Private room,70,2,16,29,0.87,1,,6/30/2019
12665,Great Room in Manhattan - Close to Central Park,242594287,Thaweesab,Manhattan,Hell's Kitchen,40.76852,-73.98895,Private room,90,3,2,66,0.48,1,,3/31/2019
12666,Cozy Bedroom in renovated Little Italy Walk-up,25043292,Vane,Manhattan,Nolita,40.7203,-73.99548,Private room,98,7,0,0,0,2,,0
12667,Room in Clinton Hill Brooklyn Loft,3597769,Enid,Brooklyn,Bedford-Stuyvesant,40.68712,-73.95876,Private room,75,5,1,0,0.01,2,,8/8/2013
12668,Private Big Room with Great Access!!!,162005440,Alba,Queens,East Elmhurst,40.76311,-73.89098,Private room,100,2,23,95,1.23,1,,6/8/2019
12669,Ensuite in Duplex Brownstone with Private Terrace!,12337318,Andrew,Manhattan,Harlem,40.82435,-73.94507,Private room,70,2,28,80,0.82,2,,4/26/2019
12670,Great location in South Manhattan,236659,Justin,Manhattan,Fi0ncial District,40.7082,-74.00139,Private room,78,1,1,0,0.02,1,,2/20/2015
12671,2,23633,Eugene,Brooklyn,Bushwick,40.70315,-73.93124,Private room,75,2,2,0,0.04,2,,11/1/2015
12672,Spread Love it's the Brooklyn Way x 2,40846857,Kaylin,Brooklyn,Crown Heights,40.67327,-73.94951,Private room,70,4,0,17,0,2,,0
12673,Brooklyn sweet dreams,234776583,Misael,Brooklyn,Bushwick,40.70138,-73.91556,Entire home/apt,100,2,8,342,1.43,1,,6/18/2019
12674,Bright XL room in Hamilton Heights/Sugar Hill,98861076,Peter & Gabe,Manhattan,Harlem,40.82444,-73.94525,Private room,90,2,136,204,5.13,1,,7/2/2019
12675,"Midtown Manhattan shared Apartment,Prime Location",152948553,Lexy,Manhattan,Chelsea,40.75133,-73.99671,Private room,99,1,77,101,3.64,1,,6/17/2019
12676,Look down on Bedford Ave! Private room.,10810969,Drew,Brooklyn,Williamsburg,40.71551,-73.96057,Private room,95,1,9,0,0.91,1,,1/16/2019
12677,Cozy 5Min2CentralPark/BroadwayShows/TimesSquareNY,2874126,Joseph,Manhattan,Hell's Kitchen,40.76535,-73.98874,Private room,81,4,27,188,0.7,1,,6/25/2018
12678,Beautiful Private Bedroom in Soho,3586725,Sophie,Manhattan,Nolita,40.72339,-73.99477,Private room,92,5,0,0,0,1,,0
12679,Duke Ellington Studio,11262267,Fabio,Manhattan,Upper West Side,40.80309,-73.96883,Shared room,77,1,0,350,0,1,,0
12680,Cozy bedroom in heart of Whitestone/Flushing,26298732,Mojgan,Queens,Flushing,40.77401,-73.80169,Private room,89,1,0,0,0,1,,0
12681,"Private Room, Very Cozy. Close to JFK. Garden!",133227147,Megan,Brooklyn,Cypress Hills,40.6784,-73.8924,Private room,100,1,43,365,2.65,1,,6/23/2019
12682,Comfy Cozy NYC Home for the Winter,48660417,Rebekah,Manhattan,Upper East Side,40.77832,-73.95017,Private room,100,30,6,0,0.33,1,,2/24/2018
12683,Stylish Manhattan Bedroom!!,140830391,Jay,Manhattan,Harlem,40.8159,-73.9396,Private room,70,1,4,260,1.14,9,,7/5/2019
12684,"Large studio in Williamsburg, 2B",49704571,Krzysztof,Brooklyn,Williamsburg,40.71972,-73.94462,Entire home/apt,80,30,5,161,0.42,8,,5/17/2019
12685,"BIG, BRIGHT, STYLISH + CONVENIENT",1470471,Kerstin,Brooklyn,Bedford-Stuyvesant,40.69112,-73.95203,Private room,80,3,90,199,1.39,1,,6/17/2019
12686,Sunny Space in Williamsburg,973438,Susanne,Brooklyn,Williamsburg,40.71137,-73.94362,Private room,100,2,273,254,2.85,1,,6/24/2019
12687,Rock & Roll Living in the Heart of NYC,3937437,Lisa,Manhattan,East Village,40.72093,-73.97964,Entire home/apt,100,2,0,0,0,1,,0
12688,"5 min from Manhattan, Williamsburg new building!",217784241,A0lia,Brooklyn,Williamsburg,40.7087,-73.95941,Private room,70,1,67,5,7.18,4,,6/6/2019
12689,Room in East Williamsburg,65061161,Dustin,Brooklyn,Williamsburg,40.70921,-73.94144,Private room,77,1,2,0,0.07,1,,3/15/2017
12690,Cosy North Bronx studio apartment with Parking,101493347,Beverly,Bronx,Wakefield,40.89121,-73.85131,Entire home/apt,79,3,18,5,0.57,1,,9/25/2018
12691,"Comfy Rm, Hallway Bath, Forest Hills",19597910,Ruth,Queens,Forest Hills,40.7269,-73.83952,Private room,95,2,42,334,0.74,3,,5/9/2019
12692,2 bedroom apartment with a big outdoor terrace,169148493,Alan,Queens,Ditmars Steinway,40.77363,-73.91188,Private room,90,4,0,0,0,1,,0
12693,Amazing Brooklyn 1Bd with Private Balcony,12061757,Taaj,Brooklyn,Brownsville,40.67511,-73.90836,Entire home/apt,100,2,0,53,0,1,,0
12694,"Charming and Convinient, LOCATION LOCATION!",21946213,0talia,Manhattan,Harlem,40.82389,-73.93887,Private room,70,1,1,0,0.05,1,,1/1/2018
12695,...Su Casa,16995499,Sam,Queens,Sunnyside,40.74993,-73.91346,Entire home/apt,75,2,0,0,0,1,,0
12696,Private bedroom & 1/2 bath in Wburg,6320146,Caroline,Brooklyn,Williamsburg,40.71855,-73.9438,Private room,90,2,0,0,0,1,,0
12697,Cozy Sunlit Bedroom in heart of Williamsburg,598896,Su,Brooklyn,Williamsburg,40.71798,-73.95983,Private room,90,2,0,184,0,2,,0
12698,Multicultural House II,203123161,Luis,Bronx,Concourse,40.82132,-73.92884,Entire home/apt,100,3,24,187,3.44,2,,6/30/2019
12699,Comfortable bedroom in spacious apt,11452065,Arthur,Brooklyn,Borough Park,40.64052,-73.99668,Private room,70,2,1,0,0.03,1,,6/13/2016
12700,Convenient Upper East Studio Apt,51651427,Sayaka,Manhattan,Upper East Side,40.7612,-73.96254,Entire home/apt,95,16,8,0,0.2,1,,1/3/2018
12701,✔ Home Away From Home ✔ 100Mbps ✔ Transit Score 99,4924711,Daniel Rusteen,Bronx,Concourse,40.81952,-73.92844,Entire home/apt,95,2,37,193,2.89,1,,7/6/2019
12702,Private room in Williamsburg,3285138,Raffi,Brooklyn,Williamsburg,40.71776,-73.9605,Private room,70,5,1,0,0.02,1,,1/5/2016
12703,Private room in HUGE Apartment!,34351124,Rebekah,Brooklyn,Bedford-Stuyvesant,40.68768,-73.92069,Private room,75,1,1,0,0.02,1,,1/3/2016
12704,Spacious uws studio overlooking Central Park,77375497,Han0h,Manhattan,Upper West Side,40.79163,-73.96727,Entire home/apt,100,4,2,0,0.09,1,,9/3/2017
12705,"Private Floor, Room and bathroom In Townhouse, BK",29219991,Doug,Brooklyn,Williamsburg,40.71555,-73.96325,Private room,98,10,62,211,1.78,2,,7/2/2019
12706,Historic and Quiet 2 Bedroom w Backyard,48804458,Andrew,Queens,Ridgewood,40.70349,-73.8994,Entire home/apt,94,6,96,48,2.96,2,,6/28/2019
12707,Apartment - private kitchen & bath,13611255,Lamee,Brooklyn,Bedford-Stuyvesant,40.68975,-73.9346,Entire home/apt,78,30,81,188,1.33,3,,8/31/2018
12708,Brownstone Apartment on Tree Lined Street,94513501,Peter & Nora,Brooklyn,Bedford-Stuyvesant,40.68664,-73.93849,Entire home/apt,100,3,33,166,2.12,1,,6/23/2019
12709,Newly Renovated Two Bedroom one bathroom,108272855,Lily,Brooklyn,Sunset Park,40.64212,-74.00259,Entire home/apt,90,2,108,144,3.52,1,,6/20/2019
12710,"New, Bright&Spacious cool apartment",38596175,Noa,Brooklyn,Williamsburg,40.71654,-73.94104,Entire home/apt,90,7,0,0,0,1,,0
12711,Charming Apartment With View,20794193,Carlo,Manhattan,Harlem,40.82546,-73.95292,Entire home/apt,90,10,6,6,0.18,1,,1/15/2019
12712,Underhill Penthouse,153781232,Zak,Brooklyn,Prospect Heights,40.67313,-73.96536,Private room,90,1,8,129,0.75,1,,7/7/2019
12713,"Sunny Room, Hamilton Heights Section of Manhattan",27378293,Lendy,Manhattan,Harlem,40.8285,-73.94889,Private room,87,1,2,332,0.23,3,,11/30/2018
12714,"NYCT02-2 LES Newly renovated Rm, NYU, Soho, AC",39890192,Laura,Manhattan,Little Italy,40.71783,-73.99817,Private room,83,15,26,125,0.74,12,,6/2/2019
12715,"3rd FL, Private Suite w Own Bath & Study Area",8821936,Lynn,Staten Island,Shore Acres,40.61135,-74.06356,Entire home/apt,75,3,19,258,0.28,1,,5/30/2019
12716,Deluxe King Bed Mobility Accessible Roll-in Shower,260618374,The Knickerbocker,Manhattan,Midtown,40.75471,-73.98781,Private room,100,1,0,352,0,13,,0
12717,Private Apt in Queens NYC/less 5min walk to train,26382036,William,Queens,Elmhurst,40.73928,-73.87755,Entire home/apt,101,5,93,7,2.52,2,,6/30/2019
12718,Cozy Room With Big Comfortable Bed!,216375039,Tosin/Rashon,Manhattan,East Harlem,40.79368,-73.93492,Private room,95,1,43,0,4.46,1,,6/1/2019
12719,Tranquility On Riverside,24530713,Byron,Manhattan,Harlem,40.82416,-73.95306,Private room,75,1,11,332,0.25,3,,5/29/2019
12720,Cozy & sunny room in Bushwick,4739974,0omi,Brooklyn,Bushwick,40.70641,-73.92158,Private room,70,4,0,0,0,1,,0
12721,Cozy Cypress Suite Convenient To Train & JFK ×,230801598,JuVita,Brooklyn,Cypress Hills,40.68426,-73.87461,Private room,80,1,10,32,1.51,1,,6/19/2019
12722,Central Park North 1BR,4130601,Rei,Manhattan,East Harlem,40.79748,-73.948,Private room,75,18,1,0,0.05,1,,1/9/2018
12723,Private Room in the heart of Williamsburg,35959456,Karim,Brooklyn,Williamsburg,40.71893,-73.95866,Private room,95,1,47,28,4.35,1,,7/6/2019
12724,Elegant Room in Upper Manhattan-18min Time Square,6057887,Mutaz,Manhattan,Washington Heights,40.84853,-73.93805,Private room,79,4,2,16,1.87,5,,6/10/2019
12725,Cozy Long Island City Studio close to Manhattan,198666761,Izi,Queens,Long Island City,40.75286,-73.93539,Entire home/apt,71,3,32,77,2.73,1,,6/29/2019
12726,Midtown Manhattan Private Alcove Suite,261632622,Royalton,Manhattan,Theater District,40.75481,-73.9856,Private room,100,1,0,317,0,9,,0
12727,Skyscraper View - Loving it!,84862540,Christelle,Manhattan,Fi0ncial District,40.7069,-74.01388,Private room,95,2,6,0,0.41,1,,8/26/2018
12728,Charming Upper East Side priv. room + private bath,420399,Gautam,Manhattan,Upper East Side,40.76973,-73.9566,Private room,89,5,16,80,0.4,2,,6/29/2019
12729,Single cozy room in Manhattan's Upper West Side,39481825,Ami,Manhattan,Morningside Heights,40.80559,-73.96606,Private room,70,1,15,16,1.77,1,,7/2/2019
12730,Small Homey Studio in a Big Noisy City,45536295,Alyssa,Manhattan,Harlem,40.81703,-73.93691,Entire home/apt,84,2,3,0,0.12,1,,6/28/2017
12731,Convenient and cozy space!,31522185,Dimitri,Queens,Astoria,40.76602,-73.91742,Shared room,75,5,4,0,0.08,1,,8/28/2016
12732,Secluded Master Bedroom in Beautiful Huge Apt,124797,Fer0ndo And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,307,0.33,1,,8/17/2017
12733,Female Only Upper West Side Room,87951927,Jeanie,Manhattan,Upper West Side,40.80046,-73.96598,Private room,75,1,5,0,0.22,1,,9/25/2017
12734,Cute & Cozy Two Room Studio in Brooklyn Heights,19628425,Ahyoung,Brooklyn,Boerum Hill,40.68632,-73.98903,Entire home/apt,80,30,3,0,0.16,1,,12/30/2017
12735,Private RM in Heart of East Village,33739627,0tasha,Manhattan,East Village,40.72896,-73.9843,Private room,99,1,4,0,0.08,1,,10/24/2015
12736,"Sunny Private Room, & bath",33750239,Chao,Brooklyn,Bedford-Stuyvesant,40.68521,-73.93707,Private room,90,2,115,0,2.29,2,,5/25/2019
12737,Cozy Studio on McGolrick Park,5352357,Bernice,Brooklyn,Greenpoint,40.72418,-73.94528,Private room,83,2,2,0,0.03,1,,8/25/2016
12738,Queen Size Foam Mattress,10264372,Tyrell,Manhattan,Harlem,40.82305,-73.93739,Private room,70,1,6,0,0.11,1,,10/12/2015
12739,Private Room in East Village Apartment,119968055,Michelle,Manhattan,East Village,40.72706,-73.98583,Private room,100,1,0,0,0,1,,0
12740,Your own large 1BR apt in Manhattan,52394,Geraldine,Manhattan,Inwood,40.86585,-73.92693,Entire home/apt,80,4,16,0,0.2,1,,5/11/2018
12741,Beautiful convenient Brooklyn loft,34908118,Linda,Brooklyn,Williamsburg,40.70711,-73.95136,Entire home/apt,100,3,5,0,0.11,1,,12/14/2016
12742,“For Heaven Cakes”,217379941,Brent,Queens,Springfield Gardens,40.66457,-73.76918,Entire home/apt,75,1,132,28,15.78,1,,7/5/2019
12743,Room in te heart of manhattan - prime location!,95892016,Leonora,Manhattan,East Village,40.72713,-73.98402,Private room,80,1,4,318,1.26,5,,6/15/2019
12744,Cozy Studio in Prospect Heights,18412434,Felami,Brooklyn,Prospect Heights,40.67485,-73.9632,Entire home/apt,85,7,52,24,1.05,1,,5/6/2019
12745,1 BR /stove /fridge / bath/ living rm 20 mins nyc,16851857,Paul,Bronx,Wakefield,40.89502,-73.85071,Entire home/apt,75,7,3,242,0.63,4,,5/3/2019
12746,Cozy room in Prospect Heights,16066047,Allegra,Brooklyn,Crown Heights,40.67919,-73.95918,Private room,70,2,12,120,0.47,1,,6/28/2019
12747,"Boutique Hip Hotel Feel, WiFi, NetFlix, Private",667627,Marvin,Manhattan,Harlem,40.81728,-73.94583,Entire home/apt,95,4,72,11,1.1,1,,5/19/2019
12748,Sunny 2 br apartment in Prospect Lefferts Gardens,9138141,Lory And Cindy,Brooklyn,Prospect-Lefferts Gardens,40.65894,-73.95262,Entire home/apt,100,1,85,125,8.95,1,,7/7/2019
12749,Designer's Two Floors New Deluxe Apartment in NYC,220709091,Dan & Melisa,Brooklyn,Bay Ridge,40.63859,-74.02497,Entire home/apt,82,1,56,288,6.41,1,,6/22/2019
12750,"2 Bedrooms Nearby Free ""Manhattan Ferry""",231352789,Farah,Staten Island,Tompkinsville,40.63515,-74.07929,Private room,85,2,29,296,5,3,,7/7/2019
12751,Private  suite,42814202,Irisha,Queens,Fresh Meadows,40.74227,-73.78707,Entire home/apt,90,1,26,358,0.9,3,,7/8/2019
12752,"Two BR, entire top floor, 23 Minutes to Manhattan",105310740,Margareth,Brooklyn,Bedford-Stuyvesant,40.6828,-73.95303,Entire home/apt,83,30,1,349,0.81,3,,6/3/2019
12753,Spacious 1 BR in a 2 BR apartment,9622750,Taran Pal,Manhattan,Kips Bay,40.74202,-73.98032,Private room,95,5,1,0,0.03,3,,9/4/2016
12754,"Large, cozy Studio in Morningside Heights",14991456,Apostolos,Manhattan,Morningside Heights,40.81441,-73.95939,Entire home/apt,100,2,11,0,0.57,1,,3/21/2019
12755,Cute Brownstone apt on tree-lined street Brooklyn,40230580,Kurtis,Brooklyn,Clinton Hill,40.68454,-73.96425,Entire home/apt,88,3,8,0,0.81,1,,1/28/2019
12756,WoodyAllen FilmSet-Like Digs (Apt),1808103,Maria,Brooklyn,Williamsburg,40.70723,-73.95515,Entire home/apt,90,2,85,4,1.99,2,,6/9/2019
12757,Stylish Apartment with beautiful skyline views.,11191325,Daniel,Manhattan,Harlem,40.81253,-73.93952,Entire home/apt,99,5,35,1,1.32,1,,4/30/2019
12758,"Cozy Studio in Clinton Hill, Brooklyn",16065842,Michael,Brooklyn,Clinton Hill,40.68511,-73.96638,Entire home/apt,100,2,64,15,1.69,1,,6/27/2019
12759,spacious apartment in Ditmas Park,5013592,Anton,Brooklyn,Flatbush,40.638,-73.96742,Entire home/apt,75,7,0,0,0,1,,0
12760,"Bright, spacious bedroom in comfy Brooklyn home",3013202,Chelsea,Brooklyn,Bushwick,40.69997,-73.91666,Private room,70,4,1,55,0.04,1,,8/21/2017
12761,Charming Moroccan-style Rooms on Upper West Side,260895286,Hajar,Manhattan,Upper West Side,40.7846,-73.97636,Private room,90,3,0,24,0,2,,0
12762,"Warm, Modern Williamsburg Apartment",31867329,Rebecca,Brooklyn,Williamsburg,40.71251,-73.94148,Private room,70,1,1,0,0.05,1,,1/3/2018
12763,Private Room Near Columbus Circle.,36980831,Matthew,Manhattan,Hell's Kitchen,40.76617,-73.98398,Private room,95,3,2,83,0.07,1,,10/7/2017
12764,"Amazing ,Steps From Time Square,Perfect Location.",52950465,Gal,Manhattan,Hell's Kitchen,40.76168,-73.99061,Entire home/apt,99,30,12,251,0.57,12,,2/27/2018
12765,Large private room in the sky,20357771,Jun,Brooklyn,Williamsburg,40.71114,-73.94438,Private room,100,1,1,0,0.02,1,,5/19/2015
12766,Soothing Place in the City,24052348,Tara,Manhattan,East Village,40.72042,-73.97998,Private room,85,10,14,18,0.27,4,,4/3/2019
12767,One Bedroom Apartment + Private Terrace,97856969,Evgenia,Brooklyn,Boerum Hill,40.68909,-73.99083,Entire home/apt,98,13,1,0,0.04,1,,8/29/2017
12768,Trendy Brooklyn Room - 20mins from Manhattan,129273512,Lisa& Jo0than,Brooklyn,Gowanus,40.67104,-73.99362,Private room,75,1,133,336,7.87,3,,6/17/2019
12769,"Nostrand Ave & St Johns, Dble room in shared apt.",152882655,Edward,Brooklyn,Crown Heights,40.67249,-73.94933,Private room,75,3,1,0,0.05,1,,10/8/2017
12770,Cute studio steps from Prospect Park,19508332,Jessica,Brooklyn,Prospect-Lefferts Gardens,40.66042,-73.9602,Entire home/apt,75,2,7,9,0.54,1,,6/7/2019
12771,Comfy Greenpoint room w/ easy access to Manhattan!,6531491,Stephen,Brooklyn,Greenpoint,40.72217,-73.948,Private room,75,1,55,0,1.46,1,,7/8/2019
12772,Modern Apt on Best Location in Brooklyn !,1409823,Fer0ndo,Brooklyn,Bedford-Stuyvesant,40.68859,-73.94998,Entire home/apt,75,5,16,15,0.58,1,,5/28/2019
12773,Nolita Bohemian Charmer,580624,An0,Manhattan,Nolita,40.72078,-73.99473,Private room,100,10,2,35,0.09,1,,4/25/2018
